id	annotation	C6_chemical_A1	C6_chemical_A3	C6_chemical_B1	C6_chemical_B2	C6_chemical_B3	C6_chemical_C1	C6_chemical_C2	C6_chemical_C3	C6_control_A1	C6_control_A3	C6_control_B1	C6_control_B2	C6_control_B3	C6_control_C1	C6_control_C2	C6_control_C3	L4_chemical_A1	L4_chemical_A2	L4_chemical_A3	L4_chemical_B1	L4_chemical_B2	L4_chemical_B3	L4_chemical_C2	L4_chemical_C3	L4_control_A1	L4_control_A2	L4_control_A3	L4_control_B1	L4_control_B2	L4_control_B3	L4_control_C2	L4_control_C3
LQ08X003520	Predicted protein	5.005646109	5.072224114	7.585943131	5.012940425	5.141748475	5.122570847	4.906059281	4.614658273	4.920439766	5.51147714	6.895803196	4.93843709	4.653728714	5.056612525	4.937382392	4.758726646	4.956843602	4.952950274	5.213535186	4.613769411	4.924484609	5.131568847	5.009831569	5.63131851	4.997559123	4.844088247	4.975924425	5.315135411	4.774348691	4.915548951	5.542072708	4.767170267
LQ08X003530	Hexokinase-2, chloroplastic	10.88376317	11.83185392	10.9846436	11.3930476	11.01170291	9.224132711	8.691524581	9.319820829	11.36720832	11.82428501	11.6780741	11.3943472	11.72872964	9.403894922	8.862333147	10.18016039	10.9828298	10.74172715	10.97952909	11.22842424	11.11093933	11.7411849	7.29084889	8.836955382	11.34607486	11.56544648	11.21273885	12.3755706	10.86599673	11.54385785	7.466395873	8.439408517
LQ08X003540	AP-2 complex subunit sigma-1	12.86175115	12.96106405	12.63447732	12.88645877	12.86979257	11.8624251	11.75676966	12.45562329	13.30013786	13.41293458	13.07793408	12.89559768	13.22057897	12.03995335	12.12264705	12.55710578	12.98792549	12.5844673	12.56489462	12.53046613	12.57059812	13.04572889	12.02940816	11.9683611	13.02438713	12.96550083	12.18370783	12.95668808	12.34333185	12.72062916	12.23047477	12.01682191
LQ08X003550	Putative Predicted protein	13.00004192	12.99523248	13.29181849	12.50233908	13.38563204	13.02598866	13.2539218	13.27876919	12.9279422	12.69043607	13.36020648	12.77433974	13.16582195	13.36618277	13.29756124	13.55761651	12.37437859	12.31286048	12.80556222	13.90871109	14.00045368	12.97649635	14.63533289	14.63521235	12.62962083	12.63801898	12.94162496	13.74914324	14.40751052	13.25162625	15.11364247	14.57723751
LQ08X003570	Snakin-2	5.787291939	5.319639848	5.743473288	5.936538231	6.274437722	6.654173806	6.453228167	7.430097091	5.685701286	5.707080135	5.467898399	5.814542149	5.766077909	6.530158932	7.054526692	6.830819978	5.858205791	6.518794055	5.817090777	6.058605868	5.792199404	6.235062654	6.764546934	6.6825632	5.719086762	5.396231497	5.316030946	5.567864921	6.103436442	6.075708268	7.512118821	5.865528104
LQ08X003620	Predicted protein	10.52174874	11.38550587	9.595184505	10.58301723	9.794673363	10.40040331	10.50273054	9.557280382	10.97346299	12.00736743	10.27051303	10.40286088	10.02860767	10.45503033	10.72225582	9.758389623	9.991608067	8.980493646	10.17404727	9.335764617	8.656386865	9.945823424	8.755615644	8.567285026	10.81546496	10.00447444	10.28580148	9.449333564	9.317634352	9.381833459	9.667979779	8.20258154
LQ08X003630	Putative uncharacterized protein	9.767057188	9.454535555	10.01442876	11.57973195	9.967430031	11.84683478	12.50064153	12.30270397	9.995149811	9.522429596	10.00610224	11.65032106	10.37640001	11.93300887	12.45777729	12.25616262	9.923593195	9.718842269	9.872568182	9.540694508	9.959887027	10.11205297	11.28320946	11.28583664	9.382212378	9.442611457	9.560158862	9.845325764	9.674115531	10.68026068	11.20214235	11.01287933
LQ08X003640	Tubulin beta-6 chain	13.23065418	13.29353998	13.11331194	13.26897949	13.45924372	10.35281852	10.73868503	11.35894126	13.44448723	13.08394745	13.31103948	13.39380725	13.61069725	10.7743712	11.62691433	11.90508706	12.4429591	12.66551385	13.50151908	12.8241771	13.13388959	14.15035666	10.4516491	11.75686546	13.38439081	13.47964506	13.81850643	13.41116691	13.75701531	13.6006772	10.4098548	11.73141957
LQ08X003650	Putative BRCA1-A complex subunit BRE	5.788331675	5.605139834	5.803832141	5.495850058	5.923126055	6.327597009	5.795830425	5.737755521	5.98959812	5.913738285	6.113629885	5.637452327	5.678552465	5.577588347	6.578442561	5.896218198	5.05501655	5.532637847	5.375630402	5.711854736	6.031963554	5.53394023	6.35514087	5.911260713	5.904365361	5.136681766	6.086737819	5.305172686	5.521591614	5.654801075	6.513572838	5.985002326
LQ08X003680	Hypothetical protein	8.078537255	7.952297792	9.237645495	7.917912156	8.975484473	7.27054313	7.911775394	7.642722924	8.28805183	7.827318508	9.065444308	7.793995987	8.855137766	7.381046922	7.286507746	7.834639323	7.871708758	8.656639341	8.594582774	9.572460239	9.739726049	8.836447202	9.105103176	9.482867209	8.013112694	8.65111772	9.277559164	9.196132827	9.473309975	9.030983676	8.682869656	9.294613775
LQ08X003690	Putative Chaperone protein dnaJ 11, chloroplastic	10.32822676	13.60172701	12.23314367	11.74475192	14.76222826	10.00016178	14.04819285	15.1929999	11.39268011	14.01570072	11.54703357	11.2306967	12.55677195	10.47185513	13.19006014	12.78480849	14.94545319	15.32131387	14.49697127	14.3827448	14.39604485	13.96042449	14.6836132	14.62390123	12.21391462	13.21763902	14.60407529	13.55171108	14.08360439	12.96244107	14.96339945	14.99822243
LQ08X003730	Thaumatin-like protein 1	5.178140355	5.075822027	5.216393364	5.287214015	4.842733224	4.893374195	4.827103456	5.185615014	5.099850639	5.341910885	5.039159049	5.221727403	5.190259479	4.821129976	4.994111026	5.126940251	5.004686164	4.959415825	5.091116533	5.181710386	5.2804699	4.913247849	5.253747618	5.673866273	5.118285907	5.079403493	5.447711162	4.765470163	5.4023545	4.923174546	6.0560075	5.276744078
